,lottary
95,3.6725066110882205e-07
96,8.940052749502654e-07
97,1.4588245444646576e-07
98,1.6684364934901766e-06
99,7.222092031956618e-07
100,6.452059754931991e-07
101,1.0127590538171857e-06
102,2.151662696823196e-07
103,2.080216602214833e-07
104,1.3495296230356636e-06
105,1.0243916387164018e-07
106,1.3032978082611721e-07
107,3.8551854445155563e-07
108,4.54287533113921e-08
109,4.6920661148887157e-07
110,8.776334982362998e-08
111,5.816077290720488e-07
112,1.5569042638785246e-06
113,1.1288249632311489e-06
114,5.283493509391142e-07
115,5.07966911586433e-08
116,1.539098091697145e-06
117,5.2527080620421045e-08
118,2.163392221348669e-07
119,4.0184254508196474e-08
120,4.9889751607863125e-08
121,2.1323035227011952e-06
122,1.226587420957928e-07
123,2.6886954839308298e-08
124,6.170985511083467e-07
125,4.1547292687902297e-07
126,1.1477954057617824e-07
127,6.087474963380908e-07
128,7.213517324676342e-08
129,8.042933250236941e-07
130,7.012353958696678e-07
131,2.287144993712647e-06
132,1.244555561631915e-07
133,9.273196807864554e-08
134,1.9859572306874603e-07
135,2.930082046557223e-07
136,2.5663667738779266e-07
137,5.644245999991901e-08
138,2.281190942817448e-08
139,7.367880769521244e-07
140,7.221412238276909e-07
141,1.6752057067168107e-07
142,1.9619742462947708e-07
143,1.0280388617350088e-07
144,1.886862732084208e-06
145,2.0230705625770576e-06
146,8.438488608455728e-09
147,1.6180613067028746e-07
148,8.451875360743211e-08
149,8.543133648632783e-08
150,2.205412163075161e-08
151,1.996350633219206e-07
152,1.0930723576541353e-08
153,4.5173588061470545e-07
154,2.7743942473515075e-07
155,4.497667205270128e-07
156,1.4765502388899029e-07
157,1.2170144143183964e-06
158,1.9402351542223584e-07
159,1.6677104745161226e-07
160,4.877068148818281e-07
161,1.703709824169063e-07
162,1.5243132697506287e-06
163,2.0227660053866818e-07
164,4.3897985292889315e-08
165,2.150216913653497e-08
166,2.388463184572192e-07
167,1.3413022120624824e-07
168,3.289310642173435e-07
169,2.584270972253774e-07
170,1.3074672036364357e-07
171,2.907517166726683e-07
172,2.9066478739135435e-07
173,1.8969674590495078e-06
174,2.13504545713529e-07
175,5.623166389732998e-07
176,7.871166927336715e-09
177,2.344677708283525e-07
178,9.026120441415764e-07
179,6.926689649106188e-07
180,1.038608249535991e-06
181,3.718338405968816e-07
182,5.612779566643358e-08
183,1.265018140501316e-08
184,5.7072797734461e-07
185,2.081868026612494e-06
186,2.644307603000008e-07
187,2.1040257094072954e-07
188,1.012906905131058e-06
189,1.0526812769891523e-07
190,3.693969363952339e-08
191,4.5136364068914093e-07
192,1.6735516786907854e-07
193,2.604051430279484e-06
194,8.432521275274747e-07
195,7.004065327276876e-08
196,6.926593281138875e-07
197,2.4123948060486e-07
198,2.2407705780889757e-06
199,7.037227263933918e-07
200,3.3712270987975444e-07
201,9.94411808554405e-07
202,2.4959751988849316e-07
203,1.607644585569813e-07
204,1.312086731876594e-06
205,1.6278235055019365e-07
206,1.7461236556089672e-07
207,1.8074739109235225e-07
208,1.3209279720523425e-07
209,2.9960397389785336e-07
210,5.933642464131266e-08
211,4.893335814799968e-07
212,7.689932090583556e-07
213,1.1468892519956036e-06
214,1.0931747183635623e-07
215,4.395499898050523e-07
216,2.155843783712682e-06
217,4.503551567801646e-06
218,2.8522949095980526e-08
219,1.1118040395918634e-07
220,2.495727902362621e-07
221,3.07795885231888e-07
222,5.915656698946747e-07
223,4.7171568302105205e-07
224,9.159597454210911e-07
225,4.947968038562265e-07
226,1.964621922101287e-07
227,3.041556247516945e-07
228,3.435225568475043e-07
229,9.65436954888089e-07
230,2.04446749506297e-07
231,1.9519131392488016e-07
232,4.4364278476816413e-07
233,1.1295573534898706e-07
234,9.982911609450484e-07
235,2.7962238026060225e-07
236,3.494734740155936e-07
237,1.9227264454693507e-07
238,4.5569890025555415e-07
239,1.324813097968228e-06
240,2.890535641553738e-07
241,5.875187866993239e-07
242,1.2076820073624363e-07
243,4.248275480084183e-07
244,5.163850277079247e-08
245,1.4006625508341467e-07
246,9.887014167013407e-07
247,2.258100407345972e-07
248,1.5390980916971447e-06
249,3.1916592346732375e-07
250,4.5998825210060283e-07
251,1.0581721869745831e-07
252,3.7485947175625356e-07
253,2.094062477728419e-07
254,3.80462326778895e-07
255,4.588400679996724e-07
256,2.3583119883059664e-07
257,7.827532108851213e-07
258,4.345974063348279e-07
259,3.54334644126873e-08
260,6.132130971090712e-07
261,1.829177913357594e-08
262,8.314692405741034e-08
263,2.0514877066640483e-06
264,2.3759208932539844e-06
265,1.8025111027194418e-07
266,2.150558523917544e-07
267,1.5902451049940293e-06
268,1.8792067009818396e-07
269,1.8885490540686995e-07
270,7.969651016281502e-07
271,6.056695545271387e-07
272,7.268783432211334e-08
273,4.5882420437472513e-07
274,7.666564298585524e-07
275,7.448148130803474e-08
276,2.982821690273144e-08
277,4.227650848790542e-07
278,5.998764098599562e-07
279,1.4020900377466327e-07
280,8.848589599428698e-07
281,7.850730860517414e-07
282,6.53149378794398e-07
283,2.792135866646656e-07
284,1.5617154777696143e-06
285,1.6955689542579492e-07
286,1.5195871122699567e-06
287,5.498132421902867e-06
288,9.18703878024609e-07
289,1.1635455755861724e-07
290,3.27514050176256e-07
291,8.040050688176346e-08
292,1.359651093771261e-06
293,1.9415666858538812e-07
294,8.146583554077914e-07
295,4.89595227706321e-07
296,2.40487887163322e-07
297,6.239990230639545e-07
298,1.0267012925641698e-06
299,2.5375868205127583e-07
300,6.517099174239799e-07
301,6.846930986714355e-07
302,1.4883249500147592e-07
303,3.334538925239622e-07
304,4.715012768692071e-07
305,2.189684858298262e-08
306,1.7514143519002388e-07
307,3.6432691204741135e-07
308,4.5683922401665447e-07
309,8.636499384721934e-07
310,7.021714062271849e-07
311,2.415241270266446e-07
312,2.289914123639489e-07
313,4.777096817108743e-07
314,1.1119409564533772e-07
315,1.251368386988488e-06
316,1.2262874839658937e-07
317,3.938042631407884e-07
318,6.452406368758031e-07
319,4.980412353931172e-07
320,7.422314138565522e-07
321,1.2943886598594975e-07
322,3.5232361452516583e-07
323,1.7380321061829713e-06
324,3.1946617055265265e-07
325,3.3712270987975444e-07
326,8.696031442565768e-07
327,6.354488773647281e-07
328,6.392430799758967e-07
329,1.0876591401137478e-06
330,1.2861156684558505e-07
331,3.799086571724542e-08
332,1.6673301888538366e-07
333,9.112461700677861e-08
334,2.0439468688524935e-07
335,2.5890366973756726e-08
336,3.9703900629928274e-07
337,2.2695420176331668e-07
338,1.3305075846334517e-07
339,2.0052196911224568e-07
340,8.120009550014249e-08
341,4.290579972834352e-07
342,3.7183384059688164e-07
343,1.9400466345387473e-08
344,1.2274857642714378e-06
345,2.241495497413694e-06
346,3.369555595220448e-07
347,1.6292747935599498e-07
348,1.295261736780275e-07
349,9.155612162570016e-08
350,1.709977534040754e-07
351,1.0959263729859828e-08
352,2.56209161448576e-07
353,2.588395641457104e-07
354,1.2402227265121148e-07
